t,range_km,closure_mps,aspect_deg,blue_alt,red_alt,blue_mach,red_mach,blue_Es,red_Es,blue_missile,red_missile
0.0,74.704,0.0,150.0,10140.8,7622.9,0.989,0.956,14593.1,12091.6,0,0
0.5,74.428,551.7,151.3,10140.8,7623.9,0.984,0.949,14554.7,12024.7,0,0
1.0,74.153,549.8,154.0,10141.8,7631.9,0.98,0.935,14513.5,11908.8,0,0
1.5,73.879,548.8,157.9,10143.8,7647.9,0.975,0.921,14474.1,11790.4,0,0
2.0,73.605,548.0,162.6,10146.7,7671.2,0.971,0.906,14437.3,11678.5,0,0
2.5,73.332,546.6,167.2,10150.5,7701.1,0.967,0.891,14406.3,11576.0,0,0
3.0,73.06,543.6,171.2,10155.1,7737.5,0.964,0.876,14385.4,11479.9,0,0
3.5,72.791,536.8,172.8,10160.2,7782.5,0.963,0.862,14378.3,11402.6,0,0
4.0,72.527,529.5,173.4,10165.7,7834.6,0.963,0.851,14386.3,11358.0,0,0
4.5,72.267,518.4,174.6,10171.2,7895.2,0.964,0.837,14398.7,11294.8,0,0
5.0,72.014,506.3,174.8,10177.1,7963.0,0.964,0.825,14401.6,11263.4,0,0
5.5,71.766,496.3,174.6,10182.4,8036.1,0.966,0.816,14423.7,11251.5,0,0
6.0,71.522,488.8,174.3,10187.2,8112.5,0.967,0.809,14436.7,11266.4,0,0
6.5,71.28,483.7,174.1,10191.7,8190.7,0.968,0.803,14448.9,11290.4,0,0
7.0,71.039,480.8,173.8,10195.5,8269.3,0.969,0.797,14468.6,11318.8,0,0
7.5,70.8,479.5,173.6,10198.7,8347.5,0.971,0.791,14487.9,11349.1,0,0
8.0,70.56,479.2,173.3,10201.2,8424.7,0.973,0.786,14506.7,11379.4,0,0
8.5,70.32,479.6,173.0,10203.3,8500.3,0.975,0.781,14525.0,11407.5,0,0
9.0,70.08,480.5,172.7,10204.9,8574.0,0.977,0.775,14543.1,11434.0,0,0
9.5,69.839,481.7,172.4,10206.0,8645.5,0.979,0.769,14561.0,11459.3,0,0
10.0,69.598,483.2,172.1,10206.9,8714.7,0.981,0.764,14578.1,11483.9,0,0
10.5,69.355,484.7,171.8,10207.4,8781.4,0.982,0.759,14594.8,11507.8,0,0
11.0,69.112,486.3,171.5,10207.7,8845.5,0.984,0.754,14611.3,11531.4,0,0
11.5,68.868,488.0,171.2,10207.6,8907.0,0.986,0.749,14627.6,11554.6,0,0
12.0,68.623,489.6,170.9,10207.3,8965.8,0.988,0.745,14643.4,11577.7,0,0
12.5,68.378,491.2,170.6,10206.8,9022.1,0.99,0.74,14658.9,11600.7,0,0
13.0,68.131,492.8,170.4,10206.0,9075.7,0.991,0.737,14674.4,11623.6,0,0
13.5,67.884,494.3,170.1,10205.0,9126.8,0.993,0.733,14689.6,11646.6,0,0
14.0,67.636,495.8,169.9,10203.9,9175.3,0.995,0.73,14704.3,11669.4,0,0
14.5,67.387,497.2,169.8,10202.6,9221.4,0.997,0.727,14719.0,11692.1,0,0
15.0,67.138,498.6,169.6,10201.2,9265.0,0.998,0.724,14733.7,11715.1,0,0
15.5,66.888,499.9,169.5,10199.7,9306.4,1.0,0.722,14748.2,11738.2,0,0
16.0,66.638,501.3,169.4,10198.1,9345.5,1.002,0.72,14762.3,11761.6,0,0
16.5,66.386,502.5,169.4,10196.5,9382.3,1.004,0.718,14776.6,11785.3,0,0
17.0,66.134,503.8,169.3,10194.9,9417.1,1.005,0.717,14790.1,11809.3,0,0
17.5,65.882,505.1,169.4,10193.4,9449.7,1.007,0.716,14803.2,11833.4,0,0
18.0,65.629,506.3,169.4,10192.0,9480.5,1.008,0.716,14816.2,11857.8,0,0
18.5,65.375,507.5,169.5,10190.6,9509.3,1.01,0.715,14829.1,11882.6,0,0
19.0,65.121,508.7,169.6,10189.3,9536.4,1.011,0.715,14841.3,11907.8,0,0
19.5,64.866,509.9,169.8,10188.1,9561.7,1.013,0.716,14853.4,11933.4,0,0
20.0,64.61,511.1,170.0,10187.0,9585.4,1.014,0.716,14865.6,11959.5,0,0
20.5,64.354,512.2,170.0,10186.0,9607.7,1.016,0.716,14877.5,11981.2,0,0
21.0,64.097,513.3,170.3,10185.1,9628.6,1.017,0.717,14888.9,12006.3,0,0
21.5,63.84,514.4,170.6,10184.4,9648.0,1.018,0.719,14900.2,12033.1,0,0
22.0,63.582,515.6,170.8,10183.9,9666.1,1.019,0.72,14911.0,12059.5,0,0
22.5,63.324,516.8,171.1,10183.7,9682.9,1.021,0.722,14921.7,12085.5,0,0
23.0,63.065,517.9,171.4,10183.6,9698.5,1.022,0.723,14932.6,12111.3,0,0
23.5,62.806,519.1,171.7,10183.7,9713.0,1.023,0.725,14943.7,12137.0,0,0
24.0,62.545,520.3,171.9,10184.0,9726.4,1.024,0.727,14955.0,12162.6,0,0
24.5,62.285,521.4,172.2,10184.3,9738.8,1.025,0.729,14966.5,12188.2,0,0
25.0,62.023,522.6,172.5,10184.7,9750.4,1.027,0.731,14977.9,12213.6,0,0
25.5,61.761,523.8,172.8,10185.2,9761.1,1.028,0.734,14989.6,12239.0,0,0
26.0,61.499,525.0,173.0,10185.7,9771.0,1.029,0.736,15001.3,12264.4,0,0
26.5,61.236,526.2,173.3,10186.2,9780.2,1.03,0.738,15013.0,12289.7,0,0
27.0,60.972,527.4,173.6,10186.7,9788.8,1.031,0.741,15024.8,12314.9,0,0
27.5,60.708,528.7,173.8,10187.1,9796.7,1.033,0.744,15036.5,12340.1,0,0
28.0,60.443,529.9,174.1,10187.6,9804.1,1.034,0.746,15048.2,12365.3,0,0
28.5,60.177,531.1,174.3,10187.9,9810.9,1.035,0.749,15059.8,12390.5,0,0
29.0,59.911,532.4,174.6,10188.3,9817.3,1.036,0.752,15071.3,12415.7,0,0
29.5,59.644,533.6,174.8,10188.6,9823.2,1.037,0.755,15082.7,12440.9,0,1
30.0,59.377,535.3,175.5,10187.8,9828.2,1.039,0.759,15096.7,12474.0,0,1
30.5,59.108,536.8,176.5,10182.3,9832.8,1.039,0.762,15094.0,12499.2,0,1
31.0,58.839,537.9,177.9,10171.0,9837.4,1.04,0.764,15088.4,12521.7,0,1
31.5,58.57,538.8,179.8,10154.3,9842.2,1.04,0.767,15081.0,12541.9,0,1
32.0,58.3,539.2,178.0,10132.3,9847.4,1.041,0.768,15071.3,12559.8,0,1
32.5,58.031,539.0,175.7,10105.3,9853.2,1.042,0.77,15059.4,12574.7,0,1
33.0,57.762,538.3,173.5,10073.6,9859.6,1.044,0.771,15045.4,12587.6,0,1
33.5,57.493,537.0,171.4,10037.3,9866.6,1.045,0.772,15029.4,12599.6,0,1
34.0,57.226,535.1,169.4,9996.6,9874.1,1.047,0.772,15011.8,12611.6,0,1
34.5,56.959,532.7,167.7,9951.6,9882.1,1.049,0.773,14992.5,12624.3,0,1
35.0,56.694,529.9,166.0,9902.5,9890.4,1.051,0.774,14971.7,12638.0,0,1
35.5,56.431,526.6,164.4,9849.6,9899.1,1.052,0.775,14931.7,12653.0,0,1
36.0,56.169,523.0,162.9,9793.1,9907.9,1.054,0.776,14899.5,12669.2,0,1
36.5,55.91,519.0,161.5,9732.6,9916.8,1.055,0.777,14866.6,12686.5,0,1
37.0,55.653,514.3,160.0,9667.1,9925.7,1.059,0.779,14845.2,12704.2,0,1
37.5,55.399,508.3,158.6,9595.5,9934.5,1.063,0.78,14827.4,12722.0,0,1
38.0,55.148,501.8,157.2,9517.9,9943.3,1.069,0.781,14813.4,12739.9,0,1
38.5,54.9,494.9,156.0,9434.4,9951.8,1.074,0.783,14797.6,12759.1,0,1
39.0,54.656,488.0,155.5,9345.6,9960.1,1.079,0.785,14770.6,12779.5,0,1
39.5,54.416,481.5,155.0,9252.2,9967.9,1.083,0.787,14729.8,12800.7,0,1
40.0,54.178,474.9,154.4,9154.1,9975.0,1.087,0.789,14688.6,12822.3,0,1
40.5,53.944,468.1,153.9,9051.1,9981.5,1.093,0.791,14660.2,12844.3,0,1
41.0,53.714,461.1,153.3,8942.7,9987.2,1.1,0.793,14645.2,12866.3,0,1
41.5,53.485,456.4,152.6,8830.3,9992.1,1.109,0.796,14644.7,12888.4,0,1
42.0,53.258,454.8,152.0,8715.3,9996.3,1.119,0.798,14652.3,12910.4,0,1
42.5,53.03,455.4,151.4,8598.6,9999.7,1.129,0.801,14659.2,12932.3,0,1
43.0,52.802,457.4,150.7,8481.0,10002.4,1.138,0.803,14659.4,12954.2,0,1
43.5,52.572,459.9,150.0,8362.8,10004.4,1.146,0.806,14654.4,12976.2,0,1
44.0,52.34,462.7,149.4,8244.3,10005.7,1.154,0.809,14645.9,12998.3,0,1
44.5,52.107,465.5,148.7,8125.6,10006.3,1.162,0.812,14635.5,13020.5,0,1
45.0,51.873,468.2,148.0,8006.8,10006.3,1.17,0.815,14624.3,13042.8,0,1
45.5,51.638,470.5,147.3,7887.9,10005.8,1.177,0.818,14613.2,13065.1,0,1
46.0,51.402,472.5,146.6,7768.7,10004.7,1.185,0.821,14602.5,13087.6,0,1
46.5,51.165,474.3,145.9,7649.3,10003.2,1.192,0.824,14592.5,13110.2,0,1
47.0,50.927,475.7,145.2,7529.5,10001.3,1.2,0.828,14583.4,13132.9,0,1
47.5,50.688,476.7,144.8,7409.2,9999.2,1.207,0.83,14574.9,13145.7,0,1
48.0,50.45,477.3,144.1,7288.5,9997.1,1.215,0.834,14565.9,13175.7,0,1
48.5,50.211,478.4,143.6,7167.1,9994.7,1.222,0.836,14555.0,13193.6,0,1
49.0,49.971,479.0,143.0,7045.1,9992.1,1.229,0.839,14542.3,13212.4,0,1
