ep,init_range_km,init_aspect_deg,init_blue_alt_km,init_red_alt_km,alt_adv_km,outcome,duration_s,kill_range_km,blue_shots,red_shots
0,85.4,177.6,6.9,7.4,-0.5,win,725.0,,1,4
1,74.7,150.0,10.1,7.6,2.5,win,709.0,,1,4
2,60.6,154.0,6.7,8.9,-2.2,timeout,960.0,,3,4
3,68.5,148.2,7.2,6.2,1.0,,960.0,,3,4
4,76.0,166.4,7.4,9.8,-2.4,win,728.0,,1,4
5,74.6,136.8,8.7,8.0,0.7,timeout,960.0,,1,4
6,97.2,144.6,5.6,6.8,-1.2,win,790.0,,1,4
7,91.8,159.4,6.2,9.6,-3.4,win,822.0,,2,4
8,68.5,156.5,8.4,7.4,1.1,win,744.5,,4,4
9,80.3,171.2,5.4,6.5,-1.1,win,778.5,,1,4
10,71.0,145.9,5.9,10.7,-4.8,,960.0,,2,4
11,64.8,160.0,9.7,8.0,1.7,win,730.5,,1,4
12,93.3,142.7,10.8,8.4,2.4,win,896.0,,3,4
13,62.7,147.6,8.6,10.4,-1.8,win,798.0,,3,4
14,89.0,144.5,10.5,10.8,-0.3,win,773.0,,1,4
15,70.7,147.4,7.7,7.7,-0.0,loss,553.0,,0,4
16,62.3,140.0,8.9,8.5,0.4,timeout,725.5,,4,4
17,78.2,145.8,9.0,6.8,2.2,win,882.0,,3,4
18,85.8,150.9,10.4,9.8,0.6,win,697.0,,1,4
19,70.3,156.5,9.7,10.2,-0.5,win,718.5,,1,4
20,68.8,151.3,5.5,5.4,0.0,win,751.5,,1,4
21,62.5,137.6,6.1,10.0,-3.9,win,791.5,,1,4
22,63.0,176.4,10.3,6.6,3.7,win,414.0,,4,0
23,86.7,165.1,9.1,10.7,-1.6,timeout,671.5,,4,4
24,77.8,150.9,10.2,8.7,1.5,win,749.5,,1,4
25,79.3,165.3,7.3,9.1,-1.8,win,912.5,,2,4
26,93.0,150.9,6.8,9.9,-3.2,timeout,749.5,,4,4
27,71.6,166.8,9.7,9.9,-0.2,win,693.5,,1,4
28,71.4,148.6,8.3,9.6,-1.2,timeout,820.5,,4,4
29,69.1,162.7,7.7,6.2,1.5,loss,740.0,,4,1
30,75.4,166.7,5.7,6.8,-1.1,timeout,960.0,,0,4
31,76.2,151.1,9.6,6.3,3.4,win,831.5,,1,4
32,92.1,146.6,6.9,10.8,-3.9,win,951.5,,2,4
33,92.4,171.6,9.5,9.0,0.5,win,810.5,,1,4
34,64.8,167.8,5.2,6.5,-1.2,timeout,960.0,,0,4
35,74.5,143.7,9.8,6.4,3.4,loss,683.0,,4,1
36,69.4,136.2,5.1,5.8,-0.7,loss,316.5,,0,2
37,83.5,158.2,6.8,10.9,-4.1,timeout,960.0,,1,4
38,73.8,151.4,10.7,9.4,1.3,win,912.0,,3,4
39,68.9,175.3,7.0,10.3,-3.4,win,669.5,,1,4
40,94.6,145.4,7.8,8.1,-0.3,win,839.5,,4,4
41,85.4,161.7,5.3,6.4,-1.0,win,779.5,,1,4
42,97.8,175.8,7.6,8.2,-0.5,win,880.5,,3,4
43,61.7,136.7,8.6,10.2,-1.6,win,632.0,,1,4
44,83.8,167.1,9.1,7.3,1.9,,960.0,,3,4
45,76.7,157.4,8.7,6.6,2.1,win,876.5,,3,4
46,66.2,177.2,10.0,9.9,0.1,win,725.5,,2,4
47,62.0,156.1,7.2,10.8,-3.6,win,792.0,,4,4
48,77.1,161.3,10.7,6.7,4.0,win,764.5,,1,4
49,90.1,175.2,8.7,7.6,1.1,win,749.0,,1,4
50,64.7,143.1,10.2,9.0,1.2,timeout,857.0,,4,4
51,66.5,161.6,6.6,6.3,0.3,win,821.5,,1,4
52,75.6,138.5,8.1,6.8,1.4,timeout,960.0,,0,4
53,97.2,156.9,5.7,7.6,-1.9,win,863.0,,4,4
54,70.8,138.7,10.5,5.5,4.9,loss,706.5,,4,1
55,62.8,168.1,6.5,10.7,-4.2,timeout,634.0,,4,4
56,66.7,173.6,7.3,8.0,-0.7,win,867.0,,3,4
57,67.3,166.2,6.0,6.9,-0.9,timeout,833.5,,4,4
58,89.6,149.1,9.4,7.6,1.8,win,732.5,,1,4
59,98.9,151.9,10.9,7.9,2.9,win,795.0,,1,4
60,77.8,163.1,8.8,5.5,3.3,win,804.0,,4,4
61,74.2,159.2,7.4,6.8,0.6,win,739.5,,1,4
62,69.3,152.5,9.4,9.1,0.3,win,662.0,,1,4
63,96.4,144.2,9.6,7.6,2.0,win,705.5,,1,4
64,97.6,141.0,7.4,7.3,0.1,win,897.5,,3,4
65,100.0,172.7,5.1,9.4,-4.2,win,820.5,,1,4
66,79.8,159.0,6.5,6.7,-0.2,win,779.5,,1,4
67,72.5,173.7,5.2,6.1,-0.9,win,924.0,,3,4
68,76.1,150.3,6.2,6.9,-0.6,win,718.0,,1,4
69,88.8,154.9,7.1,9.9,-2.8,win,734.0,,1,4
70,81.2,141.9,10.3,6.1,4.1,win,870.0,,3,4
71,89.2,146.5,7.8,9.2,-1.3,win,761.5,,1,4
72,81.2,155.1,7.3,8.6,-1.4,win,733.5,,1,4
73,92.2,137.1,6.9,8.9,-2.0,timeout,805.0,,4,4
74,96.9,148.3,9.9,6.7,3.2,win,705.5,,1,4
75,88.3,150.2,6.7,6.1,0.6,win,949.5,,3,4
76,67.6,164.8,10.5,10.9,-0.3,loss,227.0,,0,3
77,82.8,154.8,9.6,9.6,0.1,win,664.0,,1,4
78,84.2,150.2,6.1,6.6,-0.6,win,806.0,,1,4
79,93.7,160.5,7.6,9.9,-2.3,win,707.5,,1,4
80,98.6,156.1,9.7,5.9,3.9,win,751.5,,2,4
81,86.2,141.8,5.3,10.9,-5.6,win,688.0,,1,4
82,76.4,152.1,7.2,9.1,-1.8,win,750.0,,1,4
83,67.5,178.7,11.0,5.6,5.4,loss,734.5,,4,1
84,86.6,179.0,10.2,5.1,5.1,timeout,960.0,,0,4
85,65.7,161.4,10.9,7.0,3.9,win,331.5,,3,0
86,87.6,179.5,10.8,10.0,0.8,loss,323.0,,0,3
87,95.9,175.2,8.0,7.2,0.7,win,845.0,,3,4
88,67.3,169.9,10.6,6.6,3.9,loss,613.0,,4,4
89,61.9,157.3,6.8,8.2,-1.3,win,847.0,,2,4
90,94.6,155.3,10.3,7.2,3.1,timeout,822.5,,4,4
91,83.7,164.3,6.7,8.6,-1.9,win,761.0,,1,4
92,68.0,156.3,6.4,8.0,-1.6,win,728.0,,1,4
93,61.0,150.7,6.4,6.1,0.3,loss,728.0,,4,1
94,73.9,170.6,10.9,10.8,0.1,win,657.0,,1,4
95,67.2,174.1,7.2,10.8,-3.6,win,740.5,,1,4
96,62.0,168.0,9.3,10.0,-0.7,win,684.0,,4,4
97,61.1,161.6,8.4,8.9,-0.5,win,717.5,,3,4
98,61.0,138.7,6.9,6.0,1.0,loss,685.0,,4,2
99,72.7,174.7,9.7,9.8,-0.1,win,689.5,,1,4
100,88.0,143.6,9.7,8.7,1.0,timeout,888.0,,4,4
101,60.6,171.4,10.1,5.8,4.3,win,438.0,,4,0
102,76.7,154.0,5.9,9.3,-3.4,win,687.0,,1,4
103,64.4,140.3,5.1,8.7,-3.6,win,725.0,,1,4
104,75.2,136.1,10.0,8.3,1.6,win,674.5,,1,4
105,89.5,176.6,10.2,6.7,3.5,win,720.5,,2,4
106,76.3,173.0,5.9,7.8,-1.9,timeout,960.0,,1,4
107,79.8,149.6,8.8,6.7,2.1,win,781.0,,1,4
108,68.2,138.5,8.6,5.3,3.3,timeout,681.0,,4,4
109,66.2,151.2,6.3,10.1,-3.9,win,664.5,,1,4
110,69.0,168.3,9.1,8.7,0.4,timeout,817.0,,4,4
111,78.0,141.6,7.0,7.2,-0.2,timeout,893.0,,4,4
112,62.8,141.4,10.2,8.8,1.4,win,595.5,,1,4
113,78.2,160.7,5.8,10.7,-4.9,win,721.0,,1,4
114,62.1,155.6,8.0,10.8,-2.8,timeout,668.5,,4,4
115,60.7,145.3,10.2,9.0,1.2,loss,856.0,,4,3
116,82.9,142.0,7.5,6.2,1.3,win,697.0,,1,4
117,91.7,147.4,5.4,5.4,-0.1,win,895.5,,1,4
118,94.0,152.9,8.8,7.9,0.9,win,686.5,,3,4
119,61.2,155.8,6.0,6.0,0.0,win,719.0,,1,4
120,67.0,159.1,9.4,5.5,3.9,loss,828.0,,4,2
121,96.9,164.3,6.1,10.6,-4.5,loss,330.5,,0,3
122,60.9,174.2,10.7,7.3,3.4,loss,651.0,,4,2
123,68.8,135.5,8.7,8.0,0.7,win,946.5,,3,4
124,83.9,148.8,7.8,10.3,-2.6,timeout,960.0,,0,4
125,76.4,174.7,8.9,9.9,-1.0,timeout,960.0,,3,4
126,77.6,136.3,7.0,10.0,-3.0,win,744.0,,1,4
127,78.9,159.2,9.7,10.9,-1.1,win,642.5,,3,4
128,94.9,173.8,5.3,6.6,-1.3,timeout,858.5,,4,4
129,86.5,148.5,7.0,10.5,-3.6,win,896.0,,4,4
130,99.4,177.8,7.0,6.7,0.3,win,768.5,,1,4
131,89.0,153.1,8.0,10.8,-2.9,win,662.5,,1,4
132,74.7,166.9,7.9,7.5,0.5,win,896.5,,3,4
133,84.0,148.1,5.5,8.2,-2.7,win,730.5,,1,4
134,66.1,146.8,9.7,6.6,3.2,loss,694.5,,4,2
135,74.9,150.0,6.9,8.1,-1.2,win,929.0,,3,4
136,66.5,136.9,7.1,8.7,-1.6,win,685.5,,1,4
137,75.8,171.2,8.3,9.6,-1.3,win,723.5,,1,4
138,71.1,155.0,7.9,7.0,0.9,win,792.0,,3,4
139,97.1,161.5,10.5,10.9,-0.4,win,684.5,,3,4
140,63.3,154.8,8.1,5.4,2.7,,960.0,,2,4
141,65.4,162.0,7.6,11.0,-3.4,win,680.0,,2,4
142,76.5,156.3,5.3,5.6,-0.3,win,915.0,,3,4
143,78.9,179.2,6.4,6.7,-0.3,timeout,870.5,,4,4
144,75.1,175.1,7.1,5.1,2.0,loss,527.0,,0,3
145,94.1,143.2,7.0,5.7,1.3,timeout,960.0,,0,4
146,99.0,169.4,10.7,10.3,0.4,timeout,960.0,,0,0
147,62.2,164.2,5.8,5.9,-0.1,loss,654.5,,4,1
148,87.4,152.2,10.8,9.2,1.6,win,890.5,,3,4
149,69.8,164.1,6.7,7.3,-0.5,win,932.5,,3,4
