ep,t,range_km,aspect_deg,blue_alt_km,blue_mach
0,691.5,26.98,179.3,10.21,0.724
1,683.0,23.69,177.7,10.17,0.646
2,707.0,34.13,168.2,10.0,0.713
2,788.5,36.15,76.5,10.33,1.025
2,878.5,31.91,73.7,10.27,1.132
3,720.0,34.7,168.3,9.95,0.72
3,807.5,37.8,91.4,10.41,1.037
3,897.5,31.13,74.9,10.31,1.143
4,705.0,22.83,179.7,10.05,0.706
5,627.5,20.97,164.9,10.13,0.809
6,765.0,24.35,168.4,10.07,0.735
7,659.5,16.95,161.6,10.08,0.723
7,797.5,17.55,97.9,10.37,1.036
8,676.0,18.09,178.7,10.23,0.695
8,694.0,9.16,144.3,10.32,0.776
8,711.0,7.29,31.3,10.42,0.836
8,727.5,8.98,11.5,10.25,0.924
9,737.5,27.55,166.2,10.0,0.708
10,889.5,23.91,102.4,10.44,1.088
10,956.0,25.83,71.5,10.52,1.125
11,675.0,30.33,179.9,10.24,0.715
12,720.5,32.01,178.5,10.1,0.686
12,794.5,21.72,32.0,10.22,1.01
12,866.0,22.6,73.5,10.39,1.108
13,627.0,31.33,178.6,10.1,0.678
13,700.0,20.89,31.7,10.2,1.008
13,768.5,21.69,69.7,10.36,1.102
14,744.5,24.77,179.5,10.24,0.72
16,9.0,57.56,162.2,9.91,1.081
16,184.0,53.81,90.9,10.31,1.204
16,339.5,52.53,92.4,10.42,1.281
16,476.5,45.28,78.1,10.44,1.308
17,692.0,34.08,178.4,10.13,0.68
17,769.0,23.62,31.7,10.22,1.021
17,844.5,24.82,74.7,10.42,1.116
18,677.0,20.98,176.3,10.36,0.696
19,657.0,30.41,179.7,10.19,0.727
20,728.5,22.91,179.4,10.05,0.709
21,729.5,30.91,167.5,10.05,0.714
22,10.5,56.63,179.3,10.5,1.137
22,155.5,43.54,74.9,10.64,1.198
22,266.0,39.14,80.0,10.48,1.224
22,367.0,30.78,95.4,10.51,1.242
23,578.5,10.98,174.1,9.9,0.76
23,589.0,5.3,173.5,10.12,0.743
23,635.5,6.57,65.6,10.4,0.918
23,651.0,4.14,69.0,9.98,1.018
24,725.0,24.19,179.1,10.21,0.724
25,793.5,25.95,87.0,10.4,1.089
25,865.0,29.66,71.1,10.43,1.125
26,655.5,12.11,159.4,10.03,0.707
26,721.5,9.71,92.6,10.29,0.919
26,740.0,4.8,139.4,10.18,0.967
26,746.5,2.96,131.0,10.22,0.975
27,671.0,23.43,169.0,10.22,0.735
28,664.5,17.69,167.0,10.3,0.715
28,758.5,14.98,119.0,10.68,0.94
28,774.5,8.38,123.1,10.57,0.955
28,810.0,9.29,100.0,10.42,1.0
29,26.5,56.8,177.9,10.31,0.884
29,215.5,53.75,111.3,10.31,1.178
29,369.5,53.71,80.8,10.49,1.237
29,516.0,50.13,75.8,10.35,1.278
31,769.5,31.18,167.5,9.98,0.729
32,858.0,22.13,97.8,10.33,1.099
32,924.5,22.93,80.7,10.52,1.145
33,763.5,28.64,166.5,9.99,0.716
35,36.0,58.39,178.1,10.11,1.138
35,217.5,53.81,89.8,10.5,1.247
35,362.0,50.0,75.8,10.36,1.275
35,496.5,46.74,80.1,10.34,1.313
37,613.5,10.53,157.5,10.08,0.75
38,724.0,33.22,179.3,10.13,0.699
38,799.5,22.98,32.6,10.2,1.029
38,874.5,24.83,74.9,10.36,1.124
39,637.0,25.66,165.8,9.99,0.715
40,761.0,18.61,177.5,10.21,0.731
40,779.5,9.3,140.9,10.45,0.788
40,802.5,7.83,19.4,10.38,0.898
40,821.0,9.7,11.1,10.2,0.992
41,752.0,24.14,179.1,10.0,0.692
42,698.5,32.73,178.4,10.1,0.683
42,773.5,22.57,31.9,10.23,1.009
42,846.5,23.69,73.5,10.35,1.112
43,606.0,24.48,179.5,10.2,0.665
44,752.5,32.33,167.7,9.97,0.722
44,837.5,36.15,93.0,10.41,1.026
44,924.5,28.89,73.7,10.28,1.136
45,713.0,30.46,178.9,10.11,0.685
45,785.0,19.88,31.7,10.2,1.01
45,851.0,20.41,70.1,10.34,1.101
46,683.5,13.21,164.4,10.22,0.754
46,696.0,6.63,169.6,10.09,0.85
47,644.0,16.06,165.4,10.2,0.697
47,728.5,13.78,103.8,10.81,0.874
47,744.0,8.73,105.5,10.49,0.917
47,780.0,11.61,86.5,10.31,0.998
48,742.0,23.3,169.2,10.42,0.704
49,709.0,27.75,179.1,10.18,0.735
50,715.0,16.16,165.6,10.26,0.719
50,801.0,14.22,107.6,10.82,0.896
50,817.0,8.66,108.0,10.54,0.932
50,846.5,9.1,102.9,10.27,0.995
51,763.5,30.4,180.0,10.25,0.722
53,752.0,19.3,177.9,10.22,0.725
53,771.0,9.73,136.7,10.44,0.789
53,825.5,11.46,32.8,10.21,1.024
53,849.0,9.88,40.5,10.23,1.058
54,29.5,58.3,178.9,10.44,0.975
54,204.5,53.77,85.1,10.57,1.172
54,346.5,49.71,75.0,10.38,1.263
54,483.0,53.01,90.6,10.6,1.243
55,565.0,10.32,173.6,9.89,0.763
55,573.5,5.48,179.6,10.07,0.738
55,579.5,3.69,165.7,10.17,0.757
55,627.5,5.87,93.8,10.13,0.906
56,748.0,16.69,167.0,10.3,0.752
56,837.0,14.43,114.0,10.8,0.925
56,852.5,8.43,117.6,10.57,0.948
57,683.5,16.92,167.2,10.29,0.728
57,774.5,14.67,116.4,10.74,0.931
57,790.0,8.46,120.9,10.56,0.95
57,823.5,8.66,105.5,10.38,0.997
58,704.0,25.5,179.6,10.1,0.706
59,741.5,29.63,179.9,10.12,0.706
60,738.0,17.35,178.8,10.23,0.695
60,755.0,8.88,153.3,10.32,0.772
60,769.0,6.73,40.0,10.39,0.821
60,788.5,8.68,8.4,10.32,0.911
61,690.5,30.25,168.9,10.48,0.817
62,642.0,21.95,168.1,10.3,0.682
63,678.0,24.31,179.7,10.23,0.689
64,724.0,31.44,179.9,10.18,0.727
64,797.0,20.99,33.0,10.2,1.031
64,867.5,22.53,73.9,10.34,1.118
65,808.0,15.37,166.1,10.3,0.781
66,727.5,29.58,166.8,10.03,0.704
67,748.0,31.55,179.7,10.2,0.732
67,821.0,21.19,33.1,10.21,1.035
67,892.5,22.92,75.1,10.34,1.13
68,688.0,25.25,177.8,10.17,0.646
69,713.5,21.53,179.6,10.09,0.711
70,691.5,32.89,178.5,10.17,0.673
70,766.5,22.14,31.8,10.19,1.021
70,838.5,23.05,73.5,10.38,1.113
71,737.5,22.98,179.4,10.08,0.709
72,703.0,25.18,165.4,10.02,0.698
73,725.5,12.07,163.0,10.21,0.769
73,737.0,5.91,170.0,10.09,0.851
73,791.0,5.69,104.8,10.37,0.917
73,802.0,2.57,99.0,10.27,0.952
74,676.0,25.52,167.7,10.33,0.749
75,761.5,33.82,178.5,10.13,0.684
75,838.0,23.34,31.9,10.23,1.021
75,912.5,24.62,73.6,10.39,1.119
77,630.0,27.08,179.3,10.19,0.722
78,781.0,23.52,179.2,10.0,0.693
79,695.0,15.17,166.1,10.27,0.751
80,712.5,20.25,179.1,10.24,0.701
80,736.0,9.03,122.1,10.32,0.818
81,663.5,24.06,178.9,10.17,0.728
82,725.0,23.47,164.9,10.02,0.714
83,18.5,59.79,178.9,10.25,1.026
83,230.0,53.75,93.0,10.33,1.244
83,380.5,52.38,75.1,10.41,1.289
83,529.0,50.51,78.2,10.53,1.324
85,13.5,56.95,173.0,10.48,1.292
85,155.0,42.39,79.7,10.39,1.312
85,258.5,34.82,85.3,10.43,1.311
87,680.5,30.8,178.7,10.13,0.677
87,752.5,20.2,31.9,10.18,1.008
87,819.5,20.68,73.5,10.34,1.098
88,18.0,57.62,178.5,10.26,1.225
88,162.5,49.02,76.1,10.38,1.242
88,294.0,45.54,78.2,10.42,1.263
88,408.0,38.78,79.8,10.42,1.259
89,815.5,16.95,122.2,10.42,0.99
89,832.5,8.9,123.9,10.43,0.981
90,737.5,18.82,177.4,10.19,0.734
90,756.0,9.47,142.1,10.45,0.786
90,777.0,7.63,24.9,10.4,0.886
90,804.0,9.96,25.8,10.2,1.0
91,727.5,25.93,179.8,10.08,0.701
92,701.5,24.08,179.5,10.25,0.703
93,25.0,50.36,173.4,9.56,0.83
93,169.0,53.77,44.6,10.31,1.119
93,399.0,53.64,94.9,10.44,1.223
93,548.5,45.46,75.7,10.4,1.294
94,626.0,25.36,166.1,10.02,0.73
95,694.5,29.39,168.3,10.14,0.833
96,615.0,16.87,179.3,10.02,0.716
96,631.5,8.59,158.2,10.27,0.747
96,644.0,6.35,50.1,10.35,0.801
96,665.5,8.73,9.1,10.35,0.85
97,612.0,16.85,179.6,9.92,0.645
97,629.0,8.52,153.1,9.87,0.751
97,681.0,13.39,9.6,10.61,0.891
98,21.5,51.98,172.6,9.57,0.754
98,225.5,53.71,95.4,10.35,1.18
98,359.5,48.05,76.0,10.4,1.256
98,487.5,44.96,79.7,10.52,1.29
99,668.5,21.59,179.7,10.23,0.692
100,665.0,15.47,163.9,10.08,0.746
100,683.5,6.43,168.0,10.25,0.839
100,835.0,1.01,149.0,10.42,0.976
100,881.5,4.52,126.8,10.48,1.024
101,4.5,57.67,179.0,10.34,1.191
101,143.0,47.52,76.0,10.28,1.246
101,273.0,44.49,100.0,10.58,1.243
101,374.5,33.24,85.0,10.45,1.271
102,655.5,26.47,178.4,10.28,0.731
103,702.0,23.36,178.5,10.19,0.732
104,652.0,22.76,179.3,10.24,0.7
105,680.0,20.32,177.8,10.23,0.724
105,700.5,10.28,116.3,10.43,0.801
106,945.0,15.22,118.3,10.43,0.998
107,759.0,22.77,178.3,10.21,0.734
108,24.0,57.5,175.9,10.09,0.928
108,196.5,53.75,98.4,10.3,1.164
108,331.0,45.54,74.9,10.43,1.23
108,448.5,40.58,79.9,10.39,1.282
109,638.0,24.84,179.4,10.21,0.716
110,666.5,17.33,167.3,10.3,0.727
110,759.5,14.96,119.5,10.69,0.944
110,775.5,8.32,124.2,10.57,0.957
110,808.0,7.96,107.7,10.38,1.001
111,678.0,16.12,164.6,10.09,0.743
111,697.0,6.83,165.5,10.26,0.84
111,880.5,5.98,119.5,10.34,0.989
111,890.0,2.14,111.7,10.17,1.026
112,572.0,22.56,179.6,10.02,0.7
113,675.0,28.74,179.7,10.21,0.721
114,619.0,11.8,174.0,10.16,0.734
114,631.5,5.48,169.0,10.39,0.75
114,638.5,4.65,114.9,10.43,0.778
114,665.5,0.8,67.3,10.25,0.886
115,9.5,55.5,162.9,10.36,1.096
115,152.5,53.79,88.5,10.48,1.171
115,303.5,50.62,100.1,10.3,1.27
115,430.0,39.41,98.8,10.42,1.272
116,674.5,22.66,179.4,10.24,0.697
117,865.0,27.43,170.0,10.33,0.888
118,635.5,20.77,179.4,10.04,0.704
118,657.0,10.42,111.7,10.33,0.764
118,671.5,9.17,43.6,10.35,0.838
119,684.0,26.77,179.4,10.06,0.695
120,4.0,64.88,174.3,9.54,0.793
120,215.0,53.7,100.9,10.3,1.181
120,369.5,53.13,73.4,10.33,1.263
120,522.5,52.12,76.0,10.44,1.315
122,7.0,57.28,179.7,10.4,1.057
122,184.5,53.79,91.0,10.58,1.203
122,324.0,49.79,75.8,10.4,1.257
122,456.5,45.18,78.2,10.4,1.27
123,750.5,34.42,179.0,10.13,0.697
123,827.5,24.19,32.3,10.2,1.032
123,904.5,26.08,74.8,10.35,1.128
125,766.0,10.84,159.6,10.27,0.902
125,830.0,2.75,127.2,10.34,0.962
125,835.0,0.83,112.9,10.28,0.981
126,720.5,23.26,179.9,10.06,0.706
127,589.0,16.27,171.7,9.99,0.557
127,606.0,8.5,151.4,9.92,0.655
127,626.0,7.98,12.4,10.05,0.744
128,739.5,13.1,164.1,10.22,0.745
128,751.5,6.72,169.3,10.08,0.84
128,827.5,14.43,124.3,10.61,0.961
128,842.5,7.89,132.1,10.56,0.968
129,571.5,3.18,158.4,9.85,0.799
129,647.5,26.88,44.4,10.63,0.913
129,740.0,32.53,40.4,10.36,1.093
129,831.0,30.64,74.9,10.55,1.164
130,750.0,20.9,167.4,10.28,0.692
131,639.0,23.27,179.7,10.04,0.698
132,720.5,32.09,178.7,10.1,0.687
132,794.5,21.76,32.0,10.23,1.009
132,866.0,22.65,73.5,10.36,1.109
133,704.0,24.17,166.3,10.12,0.796
134,14.5,59.04,172.1,10.16,0.933
134,229.5,53.63,91.9,10.37,1.217
134,365.5,49.32,76.0,10.43,1.264
134,498.0,46.08,79.6,10.54,1.297
135,722.5,35.78,178.7,10.13,0.688
135,801.5,25.61,31.9,10.21,1.033
135,881.5,27.51,74.8,10.35,1.132
136,647.5,27.35,179.2,10.17,0.728
137,671.0,28.96,174.9,10.28,0.556
138,667.5,18.11,167.5,10.31,0.721
138,764.0,14.99,124.8,10.61,0.959
138,779.5,8.13,132.5,10.57,0.966
139,637.0,15.66,174.2,10.1,0.582
139,653.0,8.46,161.9,10.42,0.606
139,668.0,6.97,28.5,10.38,0.701
140,15.0,56.97,176.8,9.58,0.784
140,945.5,23.79,178.8,10.21,0.739
141,641.5,20.47,179.1,10.24,0.698
141,662.0,10.38,116.3,10.32,0.796
142,738.0,32.23,178.5,10.1,0.685
142,812.5,21.9,31.9,10.22,1.012
142,884.0,22.82,73.6,10.4,1.105
143,692.5,15.67,164.0,10.16,0.822
143,774.0,12.57,114.2,10.37,0.963
143,788.0,7.03,120.8,10.39,0.969
143,859.5,9.56,103.9,10.31,1.068
147,37.0,50.13,178.1,9.54,0.592
147,208.0,53.79,92.5,10.37,1.119
147,347.0,48.83,75.0,10.46,1.208
147,477.5,45.12,78.5,10.38,1.287
148,703.0,33.08,178.9,10.11,0.692
148,778.5,23.06,32.2,10.2,1.023
148,853.0,24.68,73.7,10.33,1.12
149,727.0,35.24,178.9,10.13,0.694
149,805.5,25.29,32.1,10.2,1.036
149,885.0,27.56,74.8,10.36,1.133
