t,range_km,bearing_off_nose,aspect_deg,heading,bank,pitch,alt_km,mach,g,blue_missile,red_missile
0.0,79.09,0.9,160.3,303.9,-0.0,0.0,10.753,1.21,0.73,0,0
0.5,78.75,0.0,161.4,303.0,21.6,-5.1,10.751,1.205,-0.75,0,0
1.0,78.42,1.0,163.2,301.9,20.6,-8.0,10.744,1.197,-1.36,0,0
1.5,78.09,1.8,165.5,301.1,22.9,-10.3,10.73,1.19,-1.99,0,0
2.0,77.76,1.9,167.9,300.9,23.3,-10.6,10.71,1.184,-1.28,0,0
2.5,77.44,1.7,170.2,301.1,23.8,-10.2,10.685,1.181,-0.1,0,0
3.0,77.12,1.3,171.6,301.5,24.1,-9.7,10.658,1.18,0.73,0,0
3.5,76.8,0.8,172.7,302.0,23.9,-9.0,10.629,1.18,1.13,0,0
4.0,76.49,0.2,173.3,302.5,23.6,-8.3,10.6,1.182,1.46,0,0
4.5,76.18,0.3,173.1,303.0,23.0,-7.6,10.572,1.184,1.64,0,0
5.0,75.87,0.9,173.0,303.6,22.1,-6.8,10.544,1.185,1.75,0,0
5.5,75.56,1.4,172.8,304.1,21.0,-6.1,10.518,1.187,1.77,0,0
6.0,75.25,1.8,172.5,304.5,19.7,-5.5,10.494,1.188,1.73,0,0
6.5,74.94,2.3,172.3,304.9,18.3,-4.9,10.472,1.189,1.7,0,0
7.0,74.63,2.7,172.0,305.3,17.1,-4.3,10.451,1.189,1.72,0,0
7.5,74.32,3.0,171.7,305.6,16.0,-3.8,10.432,1.19,1.71,0,0
8.0,74.01,3.4,171.5,305.9,15.1,-3.3,10.415,1.191,1.68,0,0
8.5,73.7,3.6,171.2,306.2,14.0,-2.8,10.4,1.191,1.59,0,0
9.0,73.39,3.9,170.9,306.4,12.9,-2.5,10.387,1.191,1.49,0,0
9.5,73.08,4.1,170.7,306.6,11.9,-2.2,10.375,1.192,1.42,0,0
10.0,72.76,4.3,170.5,306.8,11.0,-1.9,10.364,1.192,1.36,0,0
10.5,72.45,4.5,170.3,307.0,9.9,-1.7,10.354,1.193,1.26,0,0
11.0,72.14,4.7,170.2,307.1,8.7,-1.5,10.345,1.194,1.19,0,0
11.5,71.82,4.8,170.1,307.2,7.6,-1.4,10.337,1.194,1.14,0,0
12.0,71.51,4.9,170.0,307.3,6.5,-1.2,10.33,1.195,1.09,0,0
12.5,71.19,5.1,170.0,307.4,5.4,-1.1,10.323,1.195,1.07,0,0
13.0,70.88,5.2,170.0,307.5,4.5,-0.9,10.318,1.196,1.09,0,0
13.5,70.56,5.3,170.0,307.5,3.7,-0.8,10.312,1.196,1.09,0,0
14.0,70.24,5.3,170.1,307.6,2.8,-0.7,10.307,1.197,1.05,0,0
14.5,69.92,5.4,170.2,307.6,2.0,-0.7,10.303,1.197,1.03,0,0
15.0,69.61,5.5,170.3,307.7,1.3,-0.6,10.299,1.198,1.03,0,0
15.5,69.29,5.5,170.4,307.7,0.7,-0.5,10.295,1.199,1.03,0,0
16.0,68.97,5.6,170.6,307.7,0.0,-0.5,10.291,1.199,1.01,0,0
16.5,68.65,5.6,170.7,307.7,-0.6,-0.5,10.288,1.2,0.98,0,0
17.0,68.33,5.7,170.9,307.7,-1.1,-0.5,10.285,1.2,0.98,0,0
17.5,68.01,5.7,171.1,307.7,-1.5,-0.5,10.281,1.201,0.99,0,0
18.0,67.69,5.7,171.3,307.7,-2.0,-0.5,10.278,1.202,0.99,0,0
18.5,67.37,5.8,171.5,307.7,-2.3,-0.4,10.276,1.202,0.98,0,0
19.0,67.04,5.8,171.7,307.7,-2.5,-0.4,10.273,1.203,0.99,0,0
19.5,66.72,5.8,171.9,307.7,-2.4,-0.4,10.27,1.203,1.01,0,0
20.0,66.4,5.8,172.1,307.6,-2.2,-0.5,10.267,1.204,1.03,0,0
20.5,66.08,5.8,172.3,307.6,-1.7,-0.5,10.265,1.204,1.05,0,0
21.0,65.75,5.8,172.5,307.6,-1.3,-0.5,10.262,1.205,1.06,0,0
21.5,65.43,5.9,172.7,307.6,-0.9,-0.5,10.259,1.205,1.06,0,0
22.0,65.1,5.9,172.9,307.6,-0.5,-0.5,10.257,1.206,1.06,0,0
22.5,64.78,5.9,173.1,307.6,-0.2,-0.5,10.254,1.207,1.07,0,0
23.0,64.45,5.9,173.3,307.6,-0.1,-0.4,10.251,1.207,1.07,0,0
23.5,64.13,6.0,173.4,307.6,0.1,-0.3,10.249,1.208,1.08,0,0
24.0,63.8,6.0,173.6,307.6,0.2,-0.2,10.246,1.208,1.09,0,0
24.5,63.47,6.0,173.8,307.6,0.3,-0.1,10.244,1.208,1.12,0,0
